id = 270
editor = KK


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = priv comunication
inspiretex = priv comunication
reference2 = bin averages from Melany Higuera
1.96658 0.18729 0.33239 347.552 0.199796 0.04507 0
1.62846 0.1084 0.18806 10.5794 0.11765 0.080989 0
1.62846 0.1084 0.18806 27.6591 0.253484 0.0653988 0
1.62846 0.1084 0.18806 42.1994 0.192774 0.0587843 0
1.62846 0.1084 0.18806 56.6798 0.260911 0.064167 0
1.62846 0.1084 0.18806 71.2344 0.224466 0.0794022 0
1.62846 0.1084 0.18806 102.582 0.309001 0.0870443 0
1.62846 0.1084 0.18806 249.508 0.216047 0.0888569 0
1.62846 0.1084 0.18806 291.087 0.121211 0.0820167 0
1.62846 0.1084 0.18806 305.552 0.183222 0.0554841 0
1.62846 0.1084 0.18806 319.666 0.273477 0.0571382 0
1.62846 0.1084 0.18806 340.347 0.147889 0.0551126 0
1.97822 0.15907 0.1985 7.7628 0.204306 0.0577137 0
1.97822 0.15907 0.1985 22.0286 0.315453 0.058412 0
1.97822 0.15907 0.1985 36.5568 0.198637 0.0750949 0
1.97822 0.15907 0.1985 52.1927 0.306877 0.109026 0
1.97822 0.15907 0.1985 91.1184 0.22547 0.113666 0
1.97822 0.15907 0.1985 186.719 0.325233 0.100479 0
1.97822 0.15907 0.1985 305.295 0.193845 0.11457 0
1.97822 0.15907 0.1985 322.291 0.32534 0.0813757 0
1.97822 0.15907 0.1985 336.927 0.26925 0.0627494 0
1.97822 0.15907 0.1985 352.127 0.194428 0.0598298 0
2.89131 0.21358 0.85765 7.79442 0.191691 0.0720601 0
2.89131 0.21358 0.85765 22.8812 0.300724 0.0534571 0
2.89131 0.21358 0.85765 36.0851 0.271698 0.0648598 0
2.89131 0.21358 0.85765 80.9124 0.363521 0.117405 0
2.89131 0.21358 0.85765 187.577 0.574312 0.127548 0
2.89131 0.21358 0.85765 285.363 0.239358 0.115677 0
2.89131 0.21358 0.85765 319.512 0.210607 0.0772515 0
2.89131 0.21358 0.85765 333.464 0.258274 0.0487375 0
2.89131 0.21358 0.85765 348.651 0.284021 0.0540824 0
4.01413 0.37889 1.05297 7.36101 0.464701 0.0554648 0
4.01413 0.37889 1.05297 21.8716 0.49769 0.0696296 0
4.01413 0.37889 1.05297 38.4198 0.559782 0.104777 0
4.01413 0.37889 1.05297 67.1407 0.665176 0.155543 0
4.01413 0.37889 1.05297 103.317 0.513336 0.167342 0
4.01413 0.37889 1.05297 134.98 0.311999 0.157275 0
4.01413 0.37889 1.05297 173.129 0.585772 0.153837 0
4.01413 0.37889 1.05297 223.383 0.68823 0.164439 0
4.01413 0.37889 1.05297 266.36 0.958849 0.224836 0
4.01413 0.37889 1.05297 301.573 0.380225 0.138234 0
4.01413 0.37889 1.05297 325.939 0.714983 0.0938618 0
4.01413 0.37889 1.05297 347.846 0.387448 0.0437472 0
2.70265 0.18294 0.40095 7.71348 0.240157 0.0720195 0
2.70265 0.18294 0.40095 23.3402 0.324164 0.0601081 0
2.70265 0.18294 0.40095 37.3143 0.354434 0.0593959 0
2.70265 0.18294 0.40095 51.0229 0.329302 0.0871637 0
2.70265 0.18294 0.40095 109.137 0.363604 0.0955965 0
2.70265 0.18294 0.40095 248.567 0.341605 0.0943423 0
2.70265 0.18294 0.40095 309.232 0.308851 0.0865217 0
2.70265 0.18294 0.40095 323.471 0.366257 0.055037 0
2.70265 0.18294 0.40095 343.54 0.336619 0.0455116 0
3.62497 0.29778 0.41792 7.33218 0.443837 0.0565518 0
3.62497 0.29778 0.41792 22.2104 0.434904 0.0592243 0
3.62497 0.29778 0.41792 36.9107 0.551188 0.0747359 0
3.62497 0.29778 0.41792 58.3637 0.404352 0.108322 0
3.62497 0.29778 0.41792 95.1789 0.513854 0.119032 0
3.62497 0.29778 0.41792 141.692 0.655249 0.116785 0
3.62497 0.29778 0.41792 208.272 0.58252 0.116515 0
3.62497 0.29778 0.41792 287.594 0.455917 0.117103 0
3.62497 0.29778 0.41792 320.466 0.406206 0.092878 0
3.62497 0.29778 0.41792 335.334 0.495034 0.0656753 0
3.62497 0.29778 0.41792 351.438 0.39207 0.0519443 0
2.56688 0.16542 0.22138 7.51375 0.23125 0.0681513 0
2.56688 0.16542 0.22138 22.8228 0.306847 0.0584739 0
2.56688 0.16542 0.22138 37.1435 0.319371 0.0573218 0
2.56688 0.16542 0.22138 51.4048 0.403567 0.0720941 0
2.56688 0.16542 0.22138 70.705 0.349973 0.0887901 0
2.56688 0.16542 0.22138 210.605 0.501239 0.0879297 0
2.56688 0.16542 0.22138 301.704 0.364171 0.0895092 0
2.56688 0.16542 0.22138 316.212 0.506651 0.0594002 0
2.56688 0.16542 0.22138 330.733 0.362519 0.0587803 0
2.56688 0.16542 0.22138 348.569 0.475045 0.0536771 0
3.26336 0.23598 0.24356 7.52713 0.480971 0.0516622 0
3.26336 0.23598 0.24356 22.1899 0.449807 0.0557247 0
3.26336 0.23598 0.24356 37.0617 0.501442 0.069668 0
3.26336 0.23598 0.24356 53.1899 0.609882 0.0894222 0
3.26336 0.23598 0.24356 86.2969 0.635901 0.0951507 0
3.26336 0.23598 0.24356 191.483 0.584069 0.0952633 0
3.26336 0.23598 0.24356 306.642 0.477867 0.090792 0
3.26336 0.23598 0.24356 325.624 0.488464 0.0694193 0
3.26336 0.23598 0.24356 346.838 0.418262 0.0405775 0
