id = 280
editor = KK

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = priv comunication
inspiretex = priv comunication
reference2 = bin averages from Melany Higuera
2.89131 0.21358 0.85765 319.512 -0.0875969 0.0647371 0
2.89131 0.21358 0.85765 333.464 -0.0809586 0.0410189 0
2.89131 0.21358 0.85765 348.651 0.0190893 0.0452026 0
4.01413 0.37889 1.05297 7.36101 0.104481 0.0470389 0
4.01413 0.37889 1.05297 21.8716 0.00408486 0.0605968 0
4.01413 0.37889 1.05297 38.4198 0.12436 0.0897973 0
4.01413 0.37889 1.05297 67.1407 0.0452859 0.131633 0
4.01413 0.37889 1.05297 103.317 0.55148 0.128994 0
4.01413 0.37889 1.05297 134.98 0.364849 0.123872 0
4.01413 0.37889 1.05297 173.129 0.257382 0.125509 0
4.01413 0.37889 1.05297 223.383 -0.280784 0.143994 0
4.01413 0.37889 1.05297 266.36 -0.754496 0.206021 0
4.01413 0.37889 1.05297 301.573 -0.283537 0.118767 0
4.01413 0.37889 1.05297 325.939 -0.103963 0.0861364 0
4.01413 0.37889 1.05297 347.846 -0.0181813 0.0372496 0
2.70265 0.18294 0.40095 7.71348 0.0311391 0.059878 0
2.70265 0.18294 0.40095 23.3402 -0.00237415 0.0508817 0
2.70265 0.18294 0.40095 37.3143 0.110374 0.0496662 0
2.70265 0.18294 0.40095 51.0229 0.0501781 0.0734694 0
2.70265 0.18294 0.40095 109.137 0.0707096 0.0803576 0
2.70265 0.18294 0.40095 248.567 -0.107581 0.0800721 0
2.70265 0.18294 0.40095 309.232 0.0406398 0.0719931 0
2.70265 0.18294 0.40095 323.471 -0.0752766 0.0470137 0
2.70265 0.18294 0.40095 343.54 0.022478 0.0382141 0
3.62497 0.29778 0.41792 7.33218 -0.0313335 0.0487939 0
3.62497 0.29778 0.41792 22.2104 0.0262564 0.050943 0
3.62497 0.29778 0.41792 36.9107 0.109554 0.0651506 0
3.62497 0.29778 0.41792 58.3637 0.03936 0.0920437 0
3.62497 0.29778 0.41792 95.1789 0.222235 0.0992576 0
3.62497 0.29778 0.41792 141.692 0.322772 0.096393 0
3.62497 0.29778 0.41792 208.272 -0.192398 0.103276 0
3.62497 0.29778 0.41792 287.594 -0.197415 0.100535 0
3.62497 0.29778 0.41792 320.466 -0.20367 0.0801492 0
3.62497 0.29778 0.41792 335.334 -0.0640039 0.0573777 0
3.62497 0.29778 0.41792 351.438 -0.053175 0.044596 0
2.56688 0.16542 0.22138 7.51375 -0.0234081 0.0570536 0
2.56688 0.16542 0.22138 22.8228 0.150587 0.0480106 0
2.56688 0.16542 0.22138 37.1435 0.0619284 0.0480024 0
2.56688 0.16542 0.22138 51.4048 0.0475647 0.061651 0
2.56688 0.16542 0.22138 70.705 0.0184983 0.0757255 0
2.56688 0.16542 0.22138 210.605 -0.0233431 0.0763976 0
2.56688 0.16542 0.22138 301.704 -0.0256976 0.0757007 0
2.56688 0.16542 0.22138 316.212 0.0210992 0.0513425 0
2.56688 0.16542 0.22138 330.733 -0.101066 0.0501905 0
2.56688 0.16542 0.22138 348.569 -0.0432732 0.0467143 0
3.26336 0.23598 0.24356 7.52713 0.0054608 0.044892 0
3.26336 0.23598 0.24356 22.1899 0.0953985 0.0473925 0
3.26336 0.23598 0.24356 37.0617 0.0799684 0.0601781 0
3.26336 0.23598 0.24356 53.1899 0.109086 0.079311 0
3.26336 0.23598 0.24356 86.2969 0.184 0.0820875 0
3.26336 0.23598 0.24356 191.483 -0.0648287 0.084422 0
3.26336 0.23598 0.24356 306.642 -0.145617 0.0791667 0
3.26336 0.23598 0.24356 325.624 0.0110874 0.0598534 0
3.26336 0.23598 0.24356 346.838 -0.0754461 0.0349653 0
